,Unnamed: 0,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
10,10,SFO,San Francisco,CUZ,Cusco,1,32,"[1, 5, 5]","[32, 55, 54]",79985cbad82d21266f13e60176584910,887.0,2,11,141,660,801,1559792127.0679526
11,11,CUZ,Cusco,SFO,San Francisco,3,46,"[3, 4, 3]","[46, 50, 21]",0dbbcbac058833c82c8840707ab24d31,1374.0,2,10,117,600,717,1559792127.0679526
12,12,CUZ,Cusco,SFO,San Francisco,7,15,"[7, 3, 1]","[15, 34, 20]",12b31689e15631749396023c7cecfc00,1088.0,2,11,69,660,729,1559792127.0679526
13,13,CUZ,Cusco,SFO,San Francisco,1,34,"[1, 7, 3]","[34, 0, 21]",7500c18715c51e9a1f25956dc458c695,1063.0,2,11,55,660,715,1559792127.0679526
14,14,CUZ,Cusco,SFO,San Francisco,1,34,"[1, 8, 1]","[34, 20, 27]",0b682c51edc733dbf2fd308817cc7bb3,982.0,2,10,81,600,681,1559792127.0679526
15,15,CUZ,Cusco,SFO,San Francisco,3,40,"[3, 7, 1]","[40, 3, 27]",1c6f16f91a933d33763d34d7fa0981fa,982.0,2,11,70,660,730,1559792127.0679526
16,16,CUZ,Cusco,SFO,San Francisco,1,32,"[1, 8, 1]","[32, 20, 27]",fb7149926e091b5b92ef03b254760a7d,4931.0,2,10,79,600,679,1559792127.0679526
17,17,CUZ,Cusco,SFO,San Francisco,1,32,"[1, 8, 1]","[32, 20, 27]",c58db1c0b249855a0f682501d1d85ea1,0.0,2,10,79,600,679,1559792127.0679526
18,18,CUZ,Cusco,SFO,San Francisco,5,38,"[5, 4, 1]","[38, 4, 20]",ad2907311f7354e8e989dcc2ab28095d,746.0,2,10,62,600,662,1559792127.0679526
19,19,SFO,San Francisco,CUZ,Cusco,1,32,"[1, 8, 1]","[32, 40, 24]",f1e459e75785508b0db13eb7a2fba1c2,982.0,2,10,96,600,696,1559792127.0679526
20,20,CUZ,Cusco,SFO,San Francisco,3,46,"[3, 4, 3]","[46, 50, 21]",6ceb27bec101aecc3934ca81f3364f22,1127.0,2,10,117,600,717,1559792127.0679526
21,21,SFO,San Francisco,CUZ,Cusco,1,30,"[1, 6, 4]","[30, 35, 15]",b0c9f38a3f7e0623fdfbdda1ff7aad22,924.0,2,11,80,660,740,1559792127.0679526
22,22,CUZ,Cusco,SFO,San Francisco,1,34,"[1, 7, 3]","[34, 0, 21]",86283da622a0a1a40bff7a779384557a,1006.0,2,11,55,660,715,1559792127.0679526
23,23,SFO,San Francisco,CUZ,Cusco,1,32,"[1, 8, 1]","[32, 40, 24]",8443ce93a60f32b9802ad178e043f647,982.0,2,10,96,600,696,1559792127.0679526
24,24,CUZ,Cusco,SFO,San Francisco,1,34,"[1, 7, 3]","[34, 0, 21]",da90f5755517c27e934ac7486a427b90,1063.0,2,11,55,660,715,1559792127.0679526
25,25,CUZ,Cusco,SFO,San Francisco,1,34,"[1, 8, 1]","[34, 20, 27]",7708ced3f78c7164358b1384a1b997d4,982.0,2,10,81,600,681,1559792127.0679526
0,0,BOS,Boston,SFO,San Francisco,5,46,"[5, 1]","[46, 35]",649ac23fd609054563bf1aeef99e02af,492.0,1,6,81,360,441,1559793222.5816221
1,1,BOS,Boston,SFO,San Francisco,1,50,"[1, 5]","[50, 25]",894da218b189b5355409cf1942046f85,356.0,1,6,75,360,435,1559793222.5816221
2,2,BOS,Boston,SFO,San Francisco,3,28,"[3, 2]","[28, 45]",26177682fb4225cca7d0f3994ed61581,466.0,1,5,73,300,373,1559793222.5816221
3,3,BOS,Boston,SFO,San Francisco,5,48,[5],[48],f577df8387f7579deed9c31508f3b8f1,504.0,0,5,48,300,348,1559793222.5816221
4,4,BOS,Boston,SFO,San Francisco,6,0,[6],[0],c71390eafa35c27eda2494809dda6465,437.0,0,6,0,360,360,1559793222.5816221
5,5,BOS,Boston,SFO,San Francisco,3,29,"[3, 3]","[29, 51]",f3add2d7c32d03d4258b71fab84d8bbd,397.0,1,6,80,360,440,1559793222.5816221
6,6,BOS,Boston,SFO,San Francisco,3,42,"[3, 3]","[42, 1]",2e13734decb2050925bed320b269c27b,466.0,1,6,43,360,403,1559793222.5816221
7,7,BOS,Boston,SFO,San Francisco,1,54,"[1, 4]","[54, 45]",5f8f2a7b98b557e98002fb9dca141149,466.0,1,5,99,300,399,1559793222.5816221
8,8,BOS,Boston,SFO,San Francisco,4,29,"[4, 2]","[29, 25]",5d209a866818a12ad0b895c012e0e8c6,579.0,1,6,54,360,414,1559793222.5816221
9,9,BOS,Boston,SFO,San Francisco,4,23,"[4, 2]","[23, 19]",404fd5b9415194ea6edfa485655d1e5d,354.0,1,6,42,360,402,1559793222.5816221
10,10,BOS,Boston,SFO,San Francisco,5,21,"[5, 2]","[21, 22]",79cf6e748470cfa8482bf44167a31662,403.0,1,7,43,420,463,1559793222.5816221
11,11,BOS,Boston,SFO,San Francisco,3,31,"[3, 2]","[31, 52]",e63a3b0fce5c2c50d309bcf108183f23,466.0,1,5,83,300,383,1559793222.5816221
12,12,BOS,Boston,SFO,San Francisco,2,11,"[2, 4]","[11, 59]",ec4c72562a949d52f0c1d7490cbf84d7,500.0,1,6,70,360,430,1559793222.5816221
13,13,BOS,Boston,SFO,San Francisco,4,29,"[4, 2]","[29, 25]",5e37edda23cf67c812ca78a821961bd0,587.0,1,6,54,360,414,1559793222.5816221
14,14,BOS,Boston,SFO,San Francisco,4,9,"[4, 2]","[9, 21]",31b2f7a700e23a72af560441120af535,674.0,1,6,30,360,390,1559793222.5816221
15,15,BOS,Boston,SFO,San Francisco,5,41,"[5, 1]","[41, 16]",e0ebbbb834b73fb2f3266ab7c5f62c2b,470.0,1,6,57,360,417,1559793222.5816221
16,16,BOS,Boston,SFO,San Francisco,2,11,"[2, 5]","[11, 3]",eb9ab21789e2682540567aa868bd0fb4,450.0,1,7,14,420,434,1559793222.5816221
17,17,BOS,Boston,SFO,San Francisco,5,19,"[5, 2]","[19, 15]",d01ce7593a13ae87f2d6a03f4adca99b,520.0,1,7,34,420,454,1559793222.5816221
18,18,BOS,Boston,SFO,San Francisco,4,42,"[4, 2]","[42, 45]",e2597b8ccc908cadf9251848a710d1f0,599.0,1,6,87,360,447,1559793222.5816221
19,19,BOS,Boston,SFO,San Francisco,1,37,"[1, 4, 2]","[37, 24, 35]",6f7faacc69ec70172aa612c5193b1bcf,1055.0,2,7,96,420,516,1559793222.5816221
20,20,BOS,Boston,SFO,San Francisco,3,29,"[3, 3]","[29, 51]",ffcc691001ed5fa03a46a9a22542abd1,449.0,1,6,80,360,440,1559793222.5816221
21,21,BOS,Boston,SFO,San Francisco,1,50,"[1, 5]","[50, 25]",e3deab2117e5667f0972a6bb1d829339,465.0,1,6,75,360,435,1559793222.5816221
22,22,BOS,Boston,SFO,San Francisco,4,36,"[4, 2]","[36, 45]",f43c6eba86421cda02a6e41dd2d8229a,530.0,1,6,81,360,441,1559793222.5816221
23,23,BOS,Boston,SFO,San Francisco,2,5,"[2, 5]","[5, 12]",a4cefad21a43c5ea9b9a74871dbb1b88,404.0,1,7,17,420,437,1559793222.5816221
24,24,BOS,Boston,SFO,San Francisco,4,42,"[4, 2]","[42, 39]",3e3a3ba3f4c01d31451d689ebd5ef124,470.0,1,6,81,360,441,1559793222.5816221
25,25,BOS,Boston,SFO,San Francisco,5,36,[5],[36],82e7526e8565589bc384f91cabfa22b2,367.0,0,5,36,300,336,1559793222.5816221
26,26,BOS,Boston,SFO,San Francisco,5,41,"[5, 1]","[41, 29]",6e03eb14b5dcc2945f3ad188b5f6d226,466.0,1,6,70,360,430,1559793222.5816221
27,27,BOS,Boston,SFO,San Francisco,5,51,[5],[51],fe9a0dd5ac77316e471908a9388f3c7d,498.0,0,5,51,300,351,1559793222.5816221
28,28,BOS,Boston,SFO,San Francisco,5,38,"[5, 1]","[38, 29]",c8b272818973f3993cb5ab870e728b0a,521.0,1,6,67,360,427,1559793222.5816221
29,29,SFO,San Francisco,BOS,Boston,6,36,[6],[36],1da39cdc84ca7dde69a6225709d21884,339.0,0,6,36,360,396,1559793222.5816221
30,30,BOS,Boston,SFO,San Francisco,5,38,[5],[38],441beb52aa7b4c34ef5a0e33ac952d21,367.0,0,5,38,300,338,1559793222.5816221
31,31,BOS,Boston,SFO,San Francisco,1,33,"[1, 5]","[33, 34]",2560c8059b9816cbf4d525c14efbe2d4,450.0,1,6,67,360,427,1559793222.5816221
32,32,BOS,Boston,SFO,San Francisco,4,36,"[4, 2]","[36, 35]",733e16fbb157ac8b1734a9adb5d26b3e,716.0,1,6,71,360,431,1559793222.5816221
33,33,BOS,Boston,SFO,San Francisco,5,48,[5],[48],e505f3c794d35f8d33e533267a3d4370,364.0,0,5,48,300,348,1559793222.5816221
34,34,BOS,Boston,SFO,San Francisco,4,27,"[4, 2]","[27, 25]",499dc237eb8dc8c6b7beddf589093dfe,450.0,1,6,52,360,412,1559793222.5816221
35,35,BOS,Boston,SFO,San Francisco,1,30,"[1, 3, 2]","[30, 29, 43]",02c8fe4213a04a53b343a86616f9a1c2,671.0,2,6,102,360,462,1559793222.5816221
36,36,BOS,Boston,SFO,San Francisco,4,5,"[4, 2]","[5, 24]",1a01a262ece6487f4ca8248dc33f100a,467.0,1,6,29,360,389,1559793222.5816221
37,37,BOS,Boston,SFO,San Francisco,1,30,"[1, 3, 2]","[30, 35, 43]",c80430967750534fb3e71e95977d0e60,676.0,2,6,108,360,468,1559793222.5816221
38,38,SFO,San Francisco,BOS,Boston,6,29,[6],[29],89217bbe2bf405b22d78ede663056e89,321.0,0,6,29,360,389,1559793222.5816221
39,39,BOS,Boston,SFO,San Francisco,5,38,[5],[38],3b2de50f980a7bae1d988b8712707b3e,321.0,0,5,38,300,338,1559793222.5816221
40,40,BOS,Boston,SFO,San Francisco,4,31,"[4, 1]","[31, 53]",10243ecc9d5f77343fa444a9ccf24fdb,466.0,1,5,84,300,384,1559793222.5816221
41,41,BOS,Boston,SFO,San Francisco,1,30,"[1, 5, 1]","[30, 45, 35]",b30c494716ed2b2117e2e9396e1b5bb8,1130.0,2,7,110,420,530,1559793222.5816221
42,42,BOS,Boston,SFO,San Francisco,5,41,"[5, 1]","[41, 25]",5a285979709abdda53919cce9069525f,401.0,1,6,66,360,426,1559793222.5816221
43,43,BOS,Boston,SFO,San Francisco,5,20,"[5, 1]","[20, 26]",7b90a620bc3b69d56697954832fcc66a,467.0,1,6,46,360,406,1559793222.5816221
44,44,BOS,Boston,SFO,San Francisco,5,47,[5],[47],68ccaadfc7c545483a441d5a51bd6329,458.0,0,5,47,300,347,1559793222.5816221
45,45,BOS,Boston,SFO,San Francisco,5,36,[5],[36],17899d087376d2025aeed2ba802b6a42,367.0,0,5,36,300,336,1559793222.5816221
46,46,SFO,San Francisco,BOS,Boston,6,38,[6],[38],554f0a578a068beb0e31dcf4efc4eaf3,367.0,0,6,38,360,398,1559793222.5816221
47,47,BOS,Boston,SFO,San Francisco,5,33,"[5, 1]","[33, 29]",b3c3d4c6efbb73be9077f22345d89cbf,620.0,1,6,62,360,422,1559793222.5816221
48,48,BOS,Boston,SFO,San Francisco,3,44,"[3, 2]","[44, 43]",404363fd045e4159a059547ae1c52c55,526.0,1,5,87,300,387,1559793222.5816221
49,49,BOS,Boston,SFO,San Francisco,5,54,[5],[54],cb7a3f8905cbe775a438b5e86efd9dea,457.0,0,5,54,300,354,1559793222.5816221
50,50,BOS,Boston,SFO,San Francisco,3,38,"[3, 2]","[38, 45]",b54bbfb29613370bcedabd1bd06b3763,354.0,1,5,83,300,383,1559793222.5816221
51,51,BOS,Boston,SFO,San Francisco,4,8,"[4, 2]","[8, 24]",3a99c31c6a017bb679e9d1650f4fcbf4,467.0,1,6,32,360,392,1559793222.5816221
52,52,BOS,Boston,SFO,San Francisco,5,36,[5],[36],06081adfa93a586c76cf292900d86e02,364.0,0,5,36,300,336,1559793222.5816221
53,53,BOS,Boston,SFO,San Francisco,4,40,"[4, 2]","[40, 39]",9407b382ac9637a09f3b7ad283d6ae6f,470.0,1,6,79,360,439,1559793222.5816221
54,54,BOS,Boston,SFO,San Francisco,2,47,"[2, 4]","[47, 3]",6f1670d5b7df373aabb66fd08a3ab614,431.0,1,6,50,360,410,1559793222.5816221
55,55,BOS,Boston,SFO,San Francisco,3,29,"[3, 3]","[29, 52]",31c3ebe88052abff70776ffa452b741e,397.0,1,6,81,360,441,1559793222.5816221
56,56,BOS,Boston,SFO,San Francisco,1,44,"[1, 5]","[44, 34]",7ca311dcdd106dff4aa578487bf4e10c,404.0,1,6,78,360,438,1559793222.5816221
57,57,BOS,Boston,SFO,San Francisco,3,42,"[3, 2]","[42, 52]",90f3e8b7350921fde1c4b67b1fe15293,339.0,1,5,94,300,394,1559793222.5816221
58,58,BOS,Boston,SFO,San Francisco,4,9,"[4, 2]","[9, 21]",25982a721e0c5f0bd07882533238eb03,674.0,1,6,30,360,390,1559793222.5816221
59,59,BOS,Boston,SFO,San Francisco,1,33,"[1, 3, 2]","[33, 35, 43]",88e92191d84bd42146f95f08c62a9af7,740.0,2,6,111,360,471,1559793222.5816221
60,60,BOS,Boston,SFO,San Francisco,5,55,[5],[55],62ea01c063c98d64f4a3d249acdaf996,565.0,0,5,55,300,355,1559793222.5816221
61,61,BOS,Boston,SFO,San Francisco,5,16,"[5, 2]","[16, 22]",9077d9c1e7035baef9bc2a8e612b4344,352.0,1,7,38,420,458,1559793222.5816221
62,62,BOS,Boston,SFO,San Francisco,5,16,"[5, 2]","[16, 14]",a3bef89dcecfd67789af3ac1278f3508,322.0,1,7,30,420,450,1559793222.5816221
63,63,BOS,Boston,SFO,San Francisco,5,22,"[5, 1]","[22, 29]",97f7a0506b270c837d139862bea414e6,504.0,1,6,51,360,411,1559793222.5816221
64,64,BOS,Boston,SFO,San Francisco,5,50,[5],[50],bf6eee130fc58fa4c4374615523b1d8c,342.0,0,5,50,300,350,1559793222.5816221
65,65,BOS,Boston,SFO,San Francisco,5,33,[5],[33],72c6579e803e8eb060442defa0dc618d,367.0,0,5,33,300,333,1559793222.5816221
66,66,BOS,Boston,SFO,San Francisco,5,35,"[5, 1]","[35, 17]",69ce2ec6c70ae3922a4847ba28837822,471.0,1,6,52,360,412,1559793222.5816221
67,67,BOS,Boston,SFO,San Francisco,4,39,"[4, 1]","[39, 52]",131a1735d28a87989e520f08d04de05c,526.0,1,5,91,300,391,1559793222.5816221
68,68,SFO,San Francisco,BOS,Boston,6,35,[6],[35],c498fcd4145948258689b99ae73f9e59,322.0,0,6,35,360,395,1559793222.5816221
69,69,BOS,Boston,SFO,San Francisco,4,31,"[4, 1]","[31, 55]",0227257e271051327da36af5c59ded38,466.0,1,5,86,300,386,1559793222.5816221
70,70,SFO,San Francisco,BOS,Boston,6,34,[6],[34],4b90a2f80d0cdf9a67f6f2629491c319,367.0,0,6,34,360,394,1559793222.5816221
0,0,YUL,Montreal,SFO,San Francisco,5,22,"[5, 1]","[22, 43]",29954cc3016c9c3d260c525d1b4559a6,536.0,1,6,65,360,425,1559793313.646401
1,1,YUL,Montreal,SFO,San Francisco,2,38,"[2, 4]","[38, 3]",bd20fa7ddc19a212d5e8c4ce2d09ea39,508.0,1,6,41,360,401,1559793313.646401
2,2,SFO,San Francisco,YUL,Montreal,1,33,"[1, 5, 2]","[33, 10, 20]",bd574f62c1de2778b96fb66dfbb9488b,564.0,2,8,63,480,543,1559793313.646401
3,3,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],5a25ce241e62b59423eeceb3b2f8a2ec,659.0,0,5,28,300,328,1559793313.646401
4,4,YUL,Montreal,SFO,San Francisco,4,31,"[4, 1]","[31, 45]",683f7f721914a4d0b2781f25d918ac4d,591.0,1,5,76,300,376,1559793313.646401
5,5,YUL,Montreal,SFO,San Francisco,4,8,"[4, 2]","[8, 6]",f867ef930e8cfa4a1d8cf8a885ceac62,817.0,1,6,14,360,374,1559793313.646401
6,6,YUL,Montreal,SFO,San Francisco,2,18,"[2, 1, 4]","[18, 24, 7]",af3147e7030d5830ed1ea2d5d2af2344,564.0,2,7,49,420,469,1559793313.646401
7,7,YUL,Montreal,SFO,San Francisco,5,16,"[5, 1]","[16, 15]",f15baa1852c1b1d10d4375aab2f04d8d,566.0,1,6,31,360,391,1559793313.646401
8,8,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],eef66cb55f35d144f2b61d5a208549c7,4680.0,0,5,28,300,328,1559793313.646401
9,9,YUL,Montreal,SFO,San Francisco,4,55,"[4, 1]","[55, 15]",d17817901cc33fe20e5baba9dd9624c6,511.0,1,5,70,300,370,1559793313.646401
10,10,YUL,Montreal,SFO,San Francisco,3,47,"[3, 3]","[47, 36]",91cf8489495cf7dd2af0b9d1b59bd5c6,579.0,1,6,83,360,443,1559793313.646401
11,11,YUL,Montreal,SFO,San Francisco,4,55,"[4, 1]","[55, 15]",eee7da79da8dbb60287e0effb862aaeb,511.0,1,5,70,300,370,1559793313.646401
12,12,SFO,San Francisco,YUL,Montreal,6,16,[6],[16],6d6287473682c247d109f136bcf3f6e4,890.0,0,6,16,360,376,1559793313.646401
13,13,YUL,Montreal,SFO,San Francisco,3,29,"[3, 3, 1]","[29, 35, 33]",e35383decf564306fab7e907619c5666,491.0,2,7,97,420,517,1559793313.646401
14,14,YUL,Montreal,SFO,San Francisco,5,16,"[5, 2]","[16, 26]",64371a76db7fed8b3d0f1db204381aae,625.0,1,7,42,420,462,1559793313.646401
15,15,YUL,Montreal,SFO,San Francisco,5,16,"[5, 1]","[16, 44]",3c59b9ab48280178af9cff50b1ab5fa8,631.0,1,6,60,360,420,1559793313.646401
16,16,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],07f799e26deb3b6a99b9cf8a60e9b3c5,702.0,0,5,28,300,328,1559793313.646401
17,17,YUL,Montreal,SFO,San Francisco,4,42,"[4, 2]","[42, 41]",c5a1e161ef3b6c2af8b92e91e6f14584,507.0,1,6,83,360,443,1559793313.646401
18,18,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],46ee19c3fcfefdf4b76ebb76ab203609,659.0,0,5,28,300,328,1559793313.646401
19,19,YUL,Montreal,SFO,San Francisco,4,56,"[4, 1]","[56, 15]",56a7fd15951427f94cfde2d5d3e99d29,511.0,1,5,71,300,371,1559793313.646401
20,20,YUL,Montreal,SFO,San Francisco,5,16,"[5, 1]","[16, 44]",500bd6cb4dda921d67e0ea88b6b9686e,1207.0,1,6,60,360,420,1559793313.646401
21,21,YUL,Montreal,SFO,San Francisco,5,40,"[5, 1]","[40, 29]",9ac054718f737d2735d47bdca1fbdb23,890.0,1,6,69,360,429,1559793313.646401
22,22,SFO,San Francisco,YUL,Montreal,2,53,"[2, 4]","[53, 11]",e623ebb9edf29f957b3f39e2e2dc43d2,661.0,1,6,64,360,424,1559793313.646401
23,23,YUL,Montreal,SFO,San Francisco,4,39,"[4, 1]","[39, 46]",0926112402916d9148ada2836f6c8258,661.0,1,5,85,300,385,1559793313.646401
24,24,YUL,Montreal,SFO,San Francisco,5,47,"[5, 1]","[47, 14]",94a9e5985ea509043de1cf1e8d5947ad,773.0,1,6,61,360,421,1559793313.646401
25,25,SFO,San Francisco,YUL,Montreal,4,5,"[4, 3]","[5, 42]",580d91093bb93833ae182bf8dc8c0313,491.0,1,7,47,420,467,1559793313.646401
26,26,YUL,Montreal,SFO,San Francisco,2,39,"[2, 3]","[39, 49]",217f2467de4b6645ba2411fd39a6c10d,711.0,1,5,88,300,388,1559793313.646401
27,27,YUL,Montreal,SFO,San Francisco,5,8,"[5, 1]","[8, 44]",15adc91f24c7c927e77e83f0c59e8907,490.0,1,6,52,360,412,1559793313.646401
28,28,YUL,Montreal,SFO,San Francisco,5,55,"[5, 1]","[55, 37]",276f5eb9818e160f972de0c408669071,784.0,1,6,92,360,452,1559793313.646401
29,29,YUL,Montreal,SFO,San Francisco,4,36,"[4, 2]","[36, 41]",32944e626c8b066d7213b3db99bec4a0,464.0,1,6,77,360,437,1559793313.646401
30,30,SFO,San Francisco,YUL,Montreal,2,54,"[2, 5]","[54, 13]",d8c5e45e6734210fe4417a15769b5607,507.0,1,7,67,420,487,1559793313.646401
31,31,YUL,Montreal,SFO,San Francisco,5,16,"[5, 1]","[16, 15]",efe6c11795f08f29acdc478433c1abb5,566.0,1,6,31,360,391,1559793313.646401
32,32,YUL,Montreal,SFO,San Francisco,5,21,"[5, 2]","[21, 23]",e461f3db1d32e06bd05c7cecf048777b,625.0,1,7,44,420,464,1559793313.646401
33,33,YUL,Montreal,SFO,San Francisco,1,43,"[1, 4]","[43, 47]",ae2c5941edd69b7284a95d38c9af67e4,799.0,1,5,90,300,390,1559793313.646401
34,34,YUL,Montreal,SFO,San Francisco,4,30,"[4, 2]","[30, 16]",473dc0a608d83ee3544b645213665c31,1292.0,1,6,46,360,406,1559793313.646401
35,35,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],9684aacf40e747fc7fafbdb44c86bb87,4680.0,0,5,28,300,328,1559793313.646401
36,36,SFO,San Francisco,YUL,Montreal,2,42,"[2, 4]","[42, 37]",1ec9540f91a938984d99bef1225ab301,490.0,1,6,79,360,439,1559793313.646401
37,37,SFO,San Francisco,YUL,Montreal,6,13,[6],[13],b9edd1f876acedd11b225a41f969c788,1292.0,0,6,13,360,373,1559793313.646401
38,38,YUL,Montreal,SFO,San Francisco,4,56,"[4, 1]","[56, 15]",9b91f9c834c66cad8f079184bccb461b,511.0,1,5,71,300,371,1559793313.646401
39,39,YUL,Montreal,SFO,San Francisco,1,37,"[1, 3, 2]","[37, 29, 36]",c6f62c7f41ec8edc9ffd09f5cce4114e,759.0,2,6,102,360,462,1559793313.646401
40,40,YUL,Montreal,SFO,San Francisco,5,33,"[5, 1]","[33, 53]",550e0e694de984c1eee48e92847c569a,695.0,1,6,86,360,446,1559793313.646401
41,41,YUL,Montreal,SFO,San Francisco,4,15,"[4, 2]","[15, 5]",c6623a4c7ecb2f34a0bc5d15b24b3074,817.0,1,6,20,360,380,1559793313.646401
42,42,YUL,Montreal,SFO,San Francisco,2,39,"[2, 3]","[39, 49]",8661f0a65e14e7fab5b8ef0a1203c37d,2723.0,1,5,88,300,388,1559793313.646401
43,43,SFO,San Francisco,YUL,Montreal,1,59,"[1, 5]","[59, 4]",72bc2fb39a4f8b29eeeccd052d404faa,464.0,1,6,63,360,423,1559793313.646401
44,44,YUL,Montreal,SFO,San Francisco,4,23,"[4, 2]","[23, 24]",e527707efa31360cc896d538c2b707db,536.0,1,6,47,360,407,1559793313.646401
45,45,YUL,Montreal,SFO,San Francisco,3,44,"[3, 2]","[44, 36]",82fc6d1dd067fbd0300145709ed63875,591.0,1,5,80,300,380,1559793313.646401
46,46,YUL,Montreal,SFO,San Francisco,4,56,"[4, 1]","[56, 15]",0dc565c4f1860376ea80c263ba0a3d05,511.0,1,5,71,300,371,1559793313.646401
47,47,YUL,Montreal,SFO,San Francisco,2,38,"[2, 4]","[38, 3]",1d0486ff613dd58c708f42634b16ffd8,508.0,1,6,41,360,401,1559793313.646401
48,48,YUL,Montreal,SFO,San Francisco,5,30,"[5, 1]","[30, 42]",5180db5286dda43ad9de828dd2c558f8,627.0,1,6,72,360,432,1559793313.646401
49,49,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],35ad7478804715f7d8d1926464c8a052,500.0,0,5,28,300,328,1559793313.646401
50,50,YUL,Montreal,SFO,San Francisco,4,3,"[4, 2]","[3, 13]",e1b3a9dba3a1ad8254cc77878b20eba4,562.0,1,6,16,360,376,1559793313.646401
51,51,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],60a089d3e84830874570c193e6586a52,504.0,0,5,28,300,328,1559793313.646401
52,52,YUL,Montreal,SFO,San Francisco,5,8,"[5, 1]","[8, 44]",37a0daee988a9dcc502814bc8d1da746,1207.0,1,6,52,360,412,1559793313.646401
0,0,NAN,Nadi,SFO,San Francisco,14,45,"[14, 10]","[45, 10]",6e64006a79287d91e53cabf37dda9d9f,1996.0,1,24,55,1440,1495,1559791731.633971
1,1,SFO,San Francisco,NAN,Nadi,10,45,"[10, 1]","[45, 26]",0608b56a1b4cf9ef3b44a623c665958e,1236.0,1,11,71,660,731,1559791731.633971
2,2,NAN,Nadi,SFO,San Francisco,12,55,"[12, 4, 5]","[55, 50, 10]",28447a888f32d23c464b66e20d0e9db9,3008.0,2,21,115,1260,1375,1559791731.633971
3,3,NAN,Nadi,SFO,San Francisco,13,10,"[13, 3]","[10, 0]",181c4750fffdd79d2b6b1798ac32bfe7,2371.0,1,16,10,960,970,1559791731.633971
4,4,NAN,Nadi,SFO,San Francisco,12,55,"[12, 3]","[55, 10]",ab8a17bce3cd813b7f873a2f34160646,3980.0,1,15,65,900,965,1559791731.633971
5,5,NAN,Nadi,SFO,San Francisco,1,34,"[1, 11]","[34, 20]",d2c76ebd6115a2783c43d6eee7035ae0,1147.0,1,12,54,720,774,1559791731.633971
6,6,NAN,Nadi,SFO,San Francisco,1,34,"[1, 12, 3]","[34, 50, 0]",1d7067eda0dd3dd610271f2480bb9d5c,2029.0,2,16,84,960,1044,1559791731.633971
7,7,SFO,San Francisco,NAN,Nadi,3,10,"[3, 3, 13]","[10, 40, 35]",ee8d27a8c5cd9bbffdd0d1b1f3330326,4673.0,2,19,85,1140,1225,1559791731.633971
8,8,NAN,Nadi,SFO,San Francisco,13,10,"[13, 3]","[10, 0]",c9028f1e9629be67c4db6e86c6934047,3949.0,1,16,10,960,970,1559791731.633971
9,9,SFO,San Francisco,NAN,Nadi,10,45,"[10, 1]","[45, 24]",420a2ce09855f76b8952a5a7144f3926,1225.0,1,11,69,660,729,1559791731.633971
10,10,NAN,Nadi,SFO,San Francisco,12,10,"[12, 10]","[10, 10]",81cc4a679473f6cddddbdd93124562a6,2837.0,1,22,20,1320,1340,1559791731.633971
11,11,NAN,Nadi,SFO,San Francisco,14,45,"[14, 10]","[45, 10]",7a5c3007df09fb0621247c30c82863e7,1900.0,1,24,55,1440,1495,1559791731.633971
12,12,SFO,San Francisco,NAN,Nadi,3,10,"[3, 12]","[10, 15]",999bdd83b2286b6946474bb3185a85dc,1950.0,1,15,25,900,925,1559791731.633971
13,13,NAN,Nadi,SFO,San Francisco,13,10,"[13, 3]","[10, 10]",7e65c31533fc75ba0d9dfa98f776ab3b,3311.0,1,16,20,960,980,1559791731.633971
14,14,NAN,Nadi,SFO,San Francisco,1,37,"[1, 15, 4]","[37, 5, 5]",d3e8c7e96513c681326f2530c0cfa7d2,1179.0,2,20,47,1200,1247,1559791731.633971
15,15,NAN,Nadi,SFO,San Francisco,1,37,"[1, 11]","[37, 20]",3d42f9a8c8c26704fb29087ad80d1a3c,4179.0,1,12,57,720,777,1559791731.633971
16,16,NAN,Nadi,SFO,San Francisco,14,0,"[14, 10]","[0, 10]",c071880e18902b13e0eeb24a13445003,2011.0,1,24,10,1440,1450,1559791731.633971
17,17,NAN,Nadi,SFO,San Francisco,5,22,"[5, 6]","[22, 50]",6b907ff18b9263488d477b10ae0a0172,3141.0,1,11,72,660,732,1559791731.633971
18,18,NAN,Nadi,SFO,San Francisco,2,15,"[2, 11, 10]","[15, 30, 10]",d1b97307f211e8a16174be235bde25e6,2501.0,2,23,55,1380,1435,1559791731.633971
19,19,NAN,Nadi,SFO,San Francisco,3,29,"[3, 3, 11]","[29, 35, 20]",bd8ee0e99c751e3dd0c1f3aa22bf52f8,3254.0,2,17,84,1020,1104,1559791731.633971
20,20,NAN,Nadi,SFO,San Francisco,1,37,"[1, 11]","[37, 20]",c79384ee59e3c6de0e7e2554cde3b2ad,1230.0,1,12,57,720,777,1559791731.633971
